#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_trident;The Trident;Le Trident;Der Dreizack;;El Tridente;;;;;;;;;x
EVTDESCrumours.504;A shocking revelation has come from the lips of [incest_tower_child.GetTitledFirstName] [incest_tower_child.GetOnlyDynastyName]. Apparently, whilst climbing a high ruined tower in [From.Location.GetName], [incest_tower_child.GetSheHe] found [FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] and his sister [From.GetTitledFirstName] coupling! They must be carrying on an incestuous affair!;Une révélation choquante est sortie de la bouche de [incest_tower_child.GetTitledFirstName] [incest_tower_child.GetOnlyDynastyName]. Apparemment, alors que l'enfant grimpait sur une haute tour en ruine à [From.Location.GetName], [incest_tower_child.GetSheHe] trouva [FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] et sa soeur [From.GetTitledFirstName] en train de forniquer ! Ils doivent entretenir une liaison incestueuse !;;;Una sorprendente revelación salió de la boca de [incest_tower_child.GetTitledFirstName] [incest_tower_child.GetOnlyDynastyName]. Al parecer, cuando el niño escalaba en una alta torre en ruinas de [From.Location.GetName], encontró a [FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] y a su hermana [From.GetTitledFirstName] fornicando! Mantienen una relación incestuosa!;;;;;;;;;x
EVTOPTA69017;This depravity is shocking;De telles mœurs dépravées sont choquantes;;;Esta depravación es impactante;;;;;;;;;x
EVTDESCrumours.505;Whilst climbing a high ruined tower in [From.Location.GetName] I remember encountering a man and a woman doing strange things to eachother. But next thing I know I fell from the tower...;Alors que je grimpais sur une haute tour en ruines à [From.Location.GetName], je me souviens avoir vu un homme et une femme en train de se faire des choses étranges. La seule chose que je me rappelle ensuite, c'est d'être tombé/e de la tour…;;;Mientras escalaba una alta torre en ruinas en [From.Location.GetName], recuerdo haber visto a un hombre y una mujer haciéndose cosas extrañas. Lo único que recuerdo a continuación es estar cayendo de la torre…;;;;;;;;;x
EVTOPTArumours.505;Argghh!;Argghh !;;;Argghh!;;;;;;;;;x
EVTDESCrumours.506;My brother [From.GetFirstName] and I enjoyed a few hours together in the high, abandoned tower of [Root.Location.GetName] when a child's face appeared in one of the windows. When I asked him to do something about it, [From.GetFirstName] threw the young [incest_tower_child.GetTitledFirstName] from the tower, saying it was only way to keep our affair secret.;Mon frère [From.GetFirstName] et moi passions du bon temps ensemble pendant quelques heures dans la haute et abandonnée tour de [Root.Location.GetName] lorsque le visage d'un enfant est apparu à la fenêtre. Quand je lui ai demandé d'agir à ce sujet, [From.GetFirstName] a jeté le/a jeune [incest_tower_child.GetTitledFirstName] par la fenêtre de la tour en disant que c'était le seul moyen de préserver le secret de notre liaison.;;;Mi hermano [From.GetFirstName] y yo pasábamos un buen rato juntos durante unas horas en la alta y abandonada torre de [Root.Location.GetName] cuando el rostro de un niño apareció por la ventana. Cuando le pedí que hicera algo al respecto, [From.GetFirstName] tiró al joven [incest_tower_child.GetTitledFirstName] por la ventana de la torre diciendo que era el único modo de preservar el secreto de nuestra relación.;;;;;;;;;x
EVTOPTArumours.506;What have you done?!;Qu'as-tu fait ?;;;Qué has hecho?;;;;;;;;;x
EVTDESCrumours.507;Your [GetFromRelation] [From.GetTitledFirstName] [From.GetOnlyDynastyName] has suffered a tragic accident. [From.GetSheHeCap] was climbing a high ruined tower in [From.Location.GetName] when [From.GetSheHe] apparently tripped and fell from a great height, suffering greivous injuries.;Votre [GetFromRelation] [From.GetTitledFirstName] [From.GetOnlyDynastyName] a subi un tragique accident. [From.GetSheHeCap] était en train d'escalader une haute tour en ruine à [From.Location.GetName] lorsqu'[From.GetSheHe] a apparemment trébuché et a chuté d'une grande hauteur, souffrant de graves blessures.;;;Tu [GetFromRelation] [From.GetTitledFirstName] [From.GetOnlyDynastyName] ha sufrido un trágico accidente mientras escalaba una alta torre en ruinas en [From.Location.GetName]. Aparentemente tropezó y cayó desde gran altura, sufriendo graves heridas.;;;;;;;;;x
EVTOPTArumours.507;This is indeed tragic;C'est vraiment tragique;;;Es verdaderamente trágico;;;;;;;;;x
EVTDESC_dynasty.46;Houses Forrester and Whitehill have been locked in a bitter feud always competing over the precious Ironwood. The feud has continued throughout the years, aided by House Whitehill's change to the Faith of the Seven.;Les Maisons Forrester and Whitehill se battent durement pour le contrôle des Ironwood. La lutte dure depuis des années, alimentée par la conversion de la Maison Whitehill à la Foi des Sept.;;;Las casas Forrester y Whitehill se disputan el control de los Palohierro. La disputa ha continuado a lo largo de los años, incrementada por la conversión de la casa Whitehill a la Fe de los Siete.;;;;;;;;;x
EVTOPTA_dynasty.46;We will show those Forresters!;Les Forrester vont souffrir !;;;Los Forrester sufrirán!;;;;;;;;;x
EVTOPTB_dynasty.46;Those Whitehills shall never have our Ironwood!;Les Whitehill n'auront jamais les Ironwood !;;;Los Whitehill no tendrán nunca los Palohierro!;;;;;;;;;x
EVTDESC_WOL_10420B;An opportunity has presented itself to you to let everyone be reminded of the [Root.TopLiege.GetTitle]'s rule. There's a skilled minter that you can hire to mint out new coins for the realm with a portrait of [Root.TopLiege.GetTitledFirstName]'s face, as well as an inscription commemorating yourself.;L'occasion se présente de rappeler à tout le monde qui règne ici. Vous avez trouvé un talentueux batteur de monnaie qui pourrait fabriquer de nouvelles pièces à votre effigie.;Es hat sich eine Gelegenheit ergeben, die Menschen daran zu erinnern, dass Ihr der Herrscher seid. Es gibt einen geschickten Münzmeister, den Ihr anheuern könnt, um neue Münzen für Euer Reich zu prägen, mit einem Porträt Eures Gesichtes.;;Una oportunidad se te ha presentado para hacer recordar a todo el mundo quien reina aquí. Has encontrado a un experto acuñador de monedas que podría acuñar nuevas monedas con el rostro de [Root.TopLiege.GetTitledFirstName], así como una inscripción conmemorativa.;;;;;;;;;x
TUTORIAL_DISABLED;§YDisabled:§! The tutorial is not compatible with this mod. It is recommend to play the vanilla CK2 tutorial instead.;§YDisabled:§! Le didacticiel n'est pas compatible avec ce mod. Si vous voulez découvrir le didacticiel/tutoriel, lancez la version de base (vanilla) de CK2.;;;'§YDesactivado:§! El tutorial no es compatible con el mod. Si quieres jugar el tutorial, lanza la versión de base (''vanilla'') de CK2.';;;;;;;;;x
EVTDESC20294;My scheming in [Root.Location.GetName] has come to fruition, for I have discovered that the leader of the rumoured plot is [From.GetTitledFirstName] [From.GetOnlyDynastyName]. Apprently [From.GetSheHe] is planning to [From.GetPlot].;Mes manœuvres à [Root.Location.GetName] sont couronnées de succès, puisque j'ai découvert que le leader de la conspiration est [From.GetTitledFirstName] [From.GetOnlyDynastyName]. Apparemment [From.GetSheHe] prévoit de [From.GetPlot].;;;Mis intrigas en [Root.Location.GetName] han tenido éxito, ya que he descubierto que el líder de la conspiración es [From.GetTitledFirstName] [From.GetOnlyDynastyName]. Al parecer, planeaba [From.GetPlot].;;;;;;;;;x
EVTOPTA20291;I shall inform [Root.Liege.GetTitledFirstName] immediately;Je vais informer [Root.Liege.GetTitledFirstName] immédiatement;;;Informaré a [Root.Liege.GetTitledFirstName] inmediatamente;;;;;;;;;x
EVTDESC20295;[Root.PrimaryTitle.GetFOA], my scheming in [From.Location.GetName] has borne fruit. I have discovered a plot where [FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] seeks to [FromFrom.GetPlot].\n\nYour humble [Root.GetSpymasterName],\n[From.GetTitledFirstName] [From.GetOnlyDynastyName];[Root.PrimaryTitle.GetFOA], mes manoeuvres à [From.Location.GetName] sont couronnées de succès. J'ai découvert un complot où [FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] cherche à [FromFrom.GetPlot].\n\nVotre humble [Root.GetSpymasterName],\n[From.GetTitledFirstName] [From.GetOnlyDynastyName];;;[Root.PrimaryTitle.GetFOA], mis intrigas en [From.Location.GetName] han tenido éxito. He descubierto un complot donde [FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] planeaba [FromFrom.GetPlot].\n\nVuestro [Root.GetSpymasterName],\n[From.GetTitledFirstName] [From.GetOnlyDynastyName];;;;;;;;;x
EVTOPTA20295;That is interesting news;De nouvelles fort intéressantes;;;Son noticias interesantes;;;;;;;;;x
TOOLTIP929;A plot is uncovered...\n;Un complot est découvert...\n;;;Un complot ha sido descubierto...\n;;;;;;;;;x
EVTDESC40299;After being forced upon whilst in prison I have become pregnant.;Suite aux nombreux abus subis en prison, je suis enceinte;;;Tras ser violada mientras estaba en la cárcel, me he quedado embarazada.;;;;;;;;;x
EVTOPTA40299;I will have to bear this burden;Je vais être contraint de supporter ce fardeau;;;Tendré que soportar esta carga;;;;;;;;;x
EVTTOOLTIP40597;is relieved;est soulagé/e;;;está aliviado;;;;;;;;;x
EVTDESC40599;After forcing upon her in prison, [From.GetTitledFirstName] is expecting your child.;Après avoir été incarcérée, [From.GetTitledFirstName] porte votre enfant.;;;Después de violarla en la cárcel, [From.GetTitledFirstName] está esperando tu hijo.;;;;;;;;;x
EVTDESC40598;Your spouse [From.GetTitledFirstName], after being forced upon in prison, is expecting her captor's child.;Votre épouse, [From.GetTitledFirstName], après avoir été incarcérée, porte l'enfant de son ravisseur.;;;Tu esposa, [From.GetTitledFirstName], tras haber sido violada en la cárcel, espera el hijo de su captor.;;;;;;;;;x
EVTDESC40597;Your spouse [From.GetTitledFirstName], after being forced upon in prison, is expecting her captor's child. Thankfully she can take some moontea to avoid the dishonour of birthing the child.;Votre épouse, [From.GetTitledFirstName], après avoir été incarcérée, porte l'enfant de son ravisseur. Fort heureusement, elle peut boire du thé de lune pour éviter le déshonneur de cette naissance;;;Tu esposa, [From.GetTitledFirstName], tras haber sido violada en la cárcel, espera el hijo de su captor. Afortunadamente, puede beber té de la luna para evitar la deshonra de este nacimiento.;;;;;;;;;x
opinion_exiled_me;Exiled Me;M'a exilé;;;Me exilió;;;;;;;;;x
opinion_exiled_kin;Exiled My Kin;A exilé un membre de ma famille;;;Exilió a un pariente;;;;;;;;;x
opinion_exiled_lover;Exiled My Lover;A exilé mon amour;;;Exilió a mi amante;;;;;;;;;x
opinion_exiled_friend;Exiled My Friend;A exilé mon amie/e;;;Exilió a mi amigo;;;;;;;;;x
faction_republic_short;Overthrow Monarchy;Renverser la ,onarchie;;;Derrocar monarquía;;;;;;;;;x
faction_republic_title;Overthrow the Monarchy of [This.GetName];Renverser la monarchie de [This.GetName];;;Derrocar la monarquía de [This.GetName];;;;;;;;;x
faction_republic_desc;Members seek to force [This.Liege.GetTitledName] to abolish the monarchy and abdicate in favour of a new republic led by [From.GetBestName]. When sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!.;Les membres cherchent à abolir la monarchie et à une abdication en faveur d'une nouvelle république dirigée par [From.GetBestName]. Lorsque le complot sera suffisamment puissant, §Y[From.GetBestName]§! pourra présenter un ultimatum à §Y[From.Liege.GetBestName]§!.;;;Los miembros buscan abolir la monarquía mediante una abdicación a favor de una nueva república dirigida por [From.GetBestName]. Cuando el complot sea lo suficientemente potente, §Y[From.GetBestName]§! podrá presentar un ultimátum a §Y[From.Liege.GetBestName]§!.;;;;;;;;;x
faction_republic_war_cb;Overthrow Monarchy;Renverser la ,onarchie;;;Derrocar monarquía;;;;;;;;;x
CB_NAME_FACTION_REPUBLIC;Overthrow Monarchy of [Title.GetBaseName];Renverser la monarchie de [Title.GetBaseName];;;Derrocar la monarquía de [Title.GetBaseName];;;;;;;;;x
WAR_NAME_FACTION_REPUBLIC;$ORDER$ War to Overthrow the Monarchy of $OTHER_TITLE$;$ORDER$ Guerre pour renverser la monarchie de $OTHER_TITLE$;;;$ORDER$ Guerra para derrocar la monarquía de $OTHER_TITLE$;;;;;;;;;x
FACTION_REPUBLIC_SUCCESS;The monarchy of [This.GetName] is abolished, with a new republic being established in its place led by [Root.GetTitledFirstName]\n;La monarchie de [This.GetName] est abolie. A la place est établie une nouvelle république dirigée par [Root.GetTitledFirstName]\n;;;La monarquía de [This.GetName] ha sido abolida. En su lugar se ha establecido una nueva república dirigida por [Root.GetTitledFirstName]\n;;;;;;;;;x
faction_republic_ultimatum;Demand Abolition of Monarchy;Exige l'abolition de la monarchie;;;Exigir la abolición de la monarquía;;;;;;;;;x
faction_republic_ultimatum_desc;Send an ultimatum to [Root.Liege.GetTitledName] demanding the abolition of the monarchy, abdicating in favour of a new republic led by yourself.;Envoyer un ultimatum à [Root.Liege.GetTitledName] exigeant l’abolition de la monarchie et une abdication en faveur d’une nouvelle république dirigée par vous-même. ;;;Enviar un ultimátum a [Root.Liege.GetTitledName] exigiendo la abolición de la monarquía, abdicando a favor de una nueva república dirigida por ti mismo.;;;;;;;;;x
TOOLTIPfaction_republic_ultimatumA;[This.GetTitledFirstName] is NOT subject to a crown law, and [This.TopLiege.GetTitledFirstName]'s primary title has either minium or low crown authority.\n;[This.GetTitledFirstName] n’est PAS sujet aux lois de la couronne, et le titre principal de [This.TopLiege.GetTitledFirstName] est dans une autorité de la couronne minimale ou basse.\n;;;;;;;;;;;;x
TOOLTIPfaction_republicCHANGE;The monarchy of [This.GetName] is abolished, with a new republic being established in its place led by [From.GetTitledFirstName]\n;Envoyer un ultimatum à [Root.Liege.GetTitledName] exigeant l'abolition de la monarchie et une abdication en faveur d'une république dirigée par vous-même.;;;La monarquía de [This.GetName] ha sido abolida. En su lugar se ha establecido una nueva república dirigida por [From.GetTitledFirstName]\n;;;;;;;;;x
EVTDESCfaction_event_new.60;[Root.GetFirstName] [Root.GetOnlyDynastyName], your reign of misrule must come to an end immediately, me and my allies insist that the monarchy be abolished, and a republic established in its place led by myself. Be reasonable and let us not resort to bloodshed.\n\nSigned,\n[From.GetTitledName];[Root.GetFirstName] [Root.GetOnlyDynastyName], votre règne misérable doit se terminer immédiatement. Mes alliés et moi exigeons l'abolition de la monarchie et l'institution d'une république que je dirigerai. Soyez raisonnables et ne nous forcez pas à répandre le sang.\n\nSigné,\n[From.GetTitledName];;;[Root.GetFirstName] [Root.GetOnlyDynastyName], vuestro miserable reinado debe acabar inmediatamente. MIs aliados y yo exigimos la abolición de la monarquía y la proclamación de una república que yo mismo dirigiré. Sed razonable y no nos forcéis a derramar sangre.\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
